term,definition,source,language,country,normalized
adja,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,adja
affranchir,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,affranchir
affûter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,affter
aïoli,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,aoli
airbag,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,airbag
allumé,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,allum
allumeuse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,allumeuse
alp,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,alp
alpague,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,alpague
alpaguer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,alpaguer
alphonse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,alphonse
anglaiser,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,anglaiser
apache,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,apache
aquarium,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,aquarium
archi,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,archi
argousin,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,argousin
arracher,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,arracher
arracheur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,arracheur
artiche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,artiche
askip,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,askip
asphalteuse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,asphalteuse
aspic,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,aspic
astiquer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,astiquer
asv,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,asv
au violon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,auviolon
auberge,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,auberge
avoine,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoine
avoir bon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirbon
avoir des casseroles au cul,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirdescasserolesaucul
avoir des couilles au cul,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirdescouillesaucul
avoir la barre,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlabarre
avoir la dalle,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirladalle
avoir la haine,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlahaine
avoir la pelote à terre,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlapeloteterre
avoir la ref,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlaref
avoir le motton,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlemotton
avoir le seum,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirleseum
avoir les crocs,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,avoirlescrocs
-ax,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,ax
bafouille,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bafouille
bagouze,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bagouze
bail,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bail
baisable,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baisable
baisé,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bais
baise-en-ville,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baiseenville
baisement,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baisement
baiser,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baiser
baisodrome,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baisodrome
balai,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,balai
balance,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,balance
balancer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,balancer
balèze,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,balze
banane,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,banane
bananer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bananer
bandaison,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bandaison
bandant,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bandant
bandeur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bandeur
barbaque,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,barbaque
barda,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,barda
bardasser,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bardasser
baroder,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,baroder
barre,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,barre
bastos,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bastos
beau-dabe,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,beaudabe
beauf,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,beauf
bécane,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bcane
becqueter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,becqueter
bectance,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bectance
bédave,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bdave
belle-dabe,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,belledabe
ben,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,ben
bénard,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bnard
bendo,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bendo
berge,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,berge
berzingue,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,berzingue
besef,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,besef
beseff,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,beseff
bêta,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bta
bézef,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bzef
bicoque,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bicoque
bicraver,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bicraver
bicraveur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bicraveur
bidoche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bidoche
bidon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bidon
bif,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bif
biffeton,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,biffeton
biffle,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,biffle
bigler,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bigler
bigophone,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bigophone
billard,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,billard
bille,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bille
binks,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,binks
binouze,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,binouze
biscotte,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,biscotte
bite,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bite
bite à cul,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bitecul
biter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,biter
bitte,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bitte
bitter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bitter
bitume,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bitume
bizoune,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bizoune
bizut,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bizut
blair,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blair
blairer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blairer
blanquette,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blanquette
blase,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blase
blé,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bl
blèche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blche
blème,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blme
bleusaille,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bleusaille
blindé,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,blind
boche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boche
bœuf,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,buf
bolos,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bolos
bombasse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bombasse
bon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bon
bonbon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bonbon
bonnasse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bonnasse
boob,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boob
bordel,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bordel
borne,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,borne
botter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,botter
bottom,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bottom
bouboule,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouboule
bouche à pipe,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouchepipe
bouffable,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouffable
bouffeur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouffeur
bougnat,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bougnat
bouif,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouif
bouillaver,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouillaver
bouille,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouille
boule,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boule
boulet,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boulet
bouletteux,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bouletteux
bounty,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bounty
bourgue,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bourgue
bourre,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bourre
bourré comme un coing,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bourrcommeuncoing
bourrer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bourrer
bourse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bourse
boxon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boxon
boyasse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,boyasse
braise,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,braise
branlage,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branlage
branle,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branle
branler,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branler
branlette,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branlette
branleur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branleur
branlocher,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,branlocher
braque,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,braque
braquemart,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,braquemart
brindezingue,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,brindezingue
brique,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,brique
broute-minou,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,brouteminou
brouter,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,brouter
brouteur,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,brouteur
broyer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,broyer
bsartek,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bsartek
buffet,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,buffet
bummer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,bummer
burlingue,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,burlingue
burne,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,burne
burné,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,burn
butiner,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,butiner
ça boom,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,aboom
cabane,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cabane
caberlot,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,caberlot
cabochon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cabochon
cafetière,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cafetire
cageot,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cageot
cailler,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cailler
calbar,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,calbar
calendos,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,calendos
calice,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,calice
câlisser,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,clisser
calo,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,calo
cambuse,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cambuse
came,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,came
camer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,camer
camtar,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,camtar
canard,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,canard
canche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,canche
canner,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,canner
canon,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,canon
cantoche,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,cantoche
capote,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,capote
capote anglaise,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,capoteanglaise
carburer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,carburer
carer,Slang term listed in Wiktionary (French_slang),Wiktionary,fr,FR,carer
American slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,americanslang
Australian slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,australianslang
British slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,britishslang
English cant,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishcant
English criminal slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishcriminalslang
English ethnic slurs,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishethnicslurs
English fandom slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishfandomslang
English gender-critical slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishgendercriticalslang
English graffiti slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishgraffitislang
English incel slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishincelslang
English internet slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishinternetslang
English LGBTQ slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishlgbtqslang
English medical slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishmedicalslang
English military slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishmilitaryslang
English multiplicity slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishmultiplicityslang
North American slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,northamericanslang
English numismatic slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishnumismaticslang
English prison slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishprisonslang
English radio slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishradioslang
English rhyming slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishrhymingslang
English school slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishschoolslang
English student slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishstudentslang
English text messaging slang,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,englishtextmessagingslang
Unsupported titles/`num`MeToo,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,unsupportedtitlesnummetoo
$100 hamburger,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,100hamburger
007,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,007
007 knife,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,007knife
0.5 selfie,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,05selfie
10-20,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,1020
10-4,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,104
100,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,100
100 percent,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,100percent
11,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,11
12,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,12
13.1,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,131
13th stepper,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,13thstepper
143,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,143
18 holes,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,18holes
1FTR,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,1ftr
200 Club,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,200club
26.2,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,262
2-IC,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,2ic
3-1-3,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,313
300 Club,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,300club
304,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,304
360 noscope,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,360noscope
3P,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,3p
4,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,4
4/20,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,420
40,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,40
404,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,404
40k,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,40k
40 mike-mike,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,40mikemike
411,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,411
45,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,45
46,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,46
47,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,47
48,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,48
4uck,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,4uck
5150,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,5150
6-2-1 rule,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,621rule
637,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,637
68,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,68
6ix,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,6ix
730,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,730
807,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,807
808,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,808
8646,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,8646
8647,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,8647
8 ball,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,8ball
90-day wonder,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,90daywonder
-a,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,a
AAAA,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aaaa
a-alike,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aalike
aardvarking,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aardvarking
Aaron's rod,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aaronsrod
ab,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ab
abbed,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abbed
ABC,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abc
abdabs,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abdabs
ABDL,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abdl
Abe,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abe
Abe Lincoln,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abelincoln
Aber,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aber
Aberzombie,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aberzombie
ABG,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abg
able whackets,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ablewhackets
a-bling,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abling
abnormie,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abnormie
abo,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abo
ab off,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aboff
A-bomb,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abomb
abortuary,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abortuary
about east,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abouteast
about that life,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aboutthatlife
Abraham Lincoln,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abrahamlincoln
Abraham Newland,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abrahamnewland
absobloodylutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absobloodylutely
abso-flipping-lutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absoflippinglutely
abso-flippin'-lutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absoflippinlutely
absofreakinglutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absofreakinglutely
abso-fucking-lutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absofuckinglutely
abso-fuckin'-lutely,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absofuckinlutely
absolute unit,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absoluteunit
absolute zero,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absolutezero
absquatulate,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,absquatulate
ABU,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,abu
Ac,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ac
AC/DC,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acdc
acada,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acada
academentia,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,academentia
acca,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acca
Accy,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,accy
ace,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ace
ace-aro,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acearo
ace boon coon,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acebooncoon
aceness,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aceness
aces and spaces,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acesandspaces
acey-deucey,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aceydeucey
achievement whore,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,achievementwhore
acid,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acid
acidhead,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acidhead
ackers,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ackers
acorn,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acorn
AC Plonk,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acplonk
acquihire,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,acquihire
Actaeon,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,actaeon
action,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,action
'ad,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,ad
Adam and Eve on a raft,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adamandeveonaraft
Adam Tiler,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adamtiler
Addie,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,addie
add to the list,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,addtothelist
addy,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,addy
-adelic,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adelic
adlay,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adlay
Admiral's eighth,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,admiralseighth
Admiralty ham,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,admiraltyham
adopt,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adopt
adoption,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adoption
adorables,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adorables
adorabubble,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adorabubble
ADR,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adr
adrip,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adrip
Adrol,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adrol
adult,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adult
adulting,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,adulting
aero,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,aero
AFChick,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,afchick
a few roos loose in the top paddock,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,afewrooslooseinthetoppaddock
affair,Slang term listed in Wiktionary (English_slang),Wiktionary,en,EN,affair
